freq,power,high,low
-2.821594,-3.460173,4.705722,-0.2713319
-5.648831,-2.554678,0.8652442,4.022013
-3.619689,-1.847091,2.67023,3.499364
-5.139584,-2.775662,1.837872,2.975184
-1.507363,-2.878204,6.081311,-1.580217
-3.731496,-2.011902,2.971603,1.379481
-4.734124,-2.255044,2.186663,0.659709
-2.858778,-2.317297,4.122744,0.1858832
-3.561248,-0.9282203,2.667315,1.754639
-8.334752,-2.007391,-2.007321,5.225314
-4.005897,-1.549235,2.702172,3.846508
-3.023657,-2.741269,4.819517,-1.080452
-5.274258,-1.237243,-0.6936855,1.5109
-4.64236,-1.131369,1.215253,-0.1019679
-8.344137,-1.200407,-3.129499,3.933433
-7.57431,-4.00454,0.5976344,0.8555663
-7.013675,-3.429677,-3.664271,2.434788
-5.99754,-3.930906,-1.248193,2.197001
-7.413891,-2.188587,1.042506,4.443285
-3.015149,-2.888335,5.539154,-1.433256
-6.515609,-1.966384,0.6044819,-0.8146289
-6.189548,-3.480871,-0.33258,-1.631312
-4.312409,-0.9191875,3.143231,-1.310844
-8.084807,-3.889025,-2.178543,2.488583
-5.869666,-3.560146,1.970585,-0.1742633
-6.610503,-3.863909,-1.924731,2.390911
-6.666676,-0.5862463,2.766976,4.809422
-3.212835,-1.364374,2.427539,-1.297061
-3.807304,-2.512625,4.40758,-1.863983
-2.852745,-2.272369,6.156723,-1.065127
-1.77194,-2.74671,6.706398,-2.099334
-7.370997,-0.8380162,-0.01033117,1.042261
-6.152131,-3.484441,-1.825675,-0.345452
-5.797627,0.6035125,0.3501375,2.450031
-5.939824,-0.3501486,1.382334,3.141918
-7.043376,-1.776922,-2.291063,1.981748
-9.318603,-1.809438,-3.78094,5.03257
-7.225965,-0.1163827,-2.145033,3.510981
-6.728541,0.4945045,-0.8683763,4.077137
-8.063548,-2.370631,-1.156511,4.739779
-10.81985,-4.867617,-4.385021,2.649883
-9.028123,-5.53732,-6.023135,1.878762
-7.765847,-2.578224,-2.866112,6.512897
-6.551903,-2.783324,-0.7094759,4.397776
-6.223063,-3.168324,-1.661291,3.139398
-4.856073,-3.053061,0.6703264,3.401483
-10.39993,-2.494241,-4.161611,3.213755
-9.108137,-3.68763,-4.823506,5.418001
-4.379303,-3.021458,4.235951,-0.4549113
-3.314608,-1.207313,4.183773,2.020514
-3.600009,-2.413003,3.038034,2.361104
-4.206929,-2.871895,1.615385,2.630189
-4.30452,-3.624824,1.222054,2.567327
-10.63822,-4.232374,-6.344811,1.485657
-9.123988,-3.79232,-3.474446,3.069895
-8.323216,-2.621252,-1.59102,0.275149
-9.120437,-0.8118651,-0.6741834,2.345775
-9.279271,-3.127636,-2.283807,-0.2131158
-8.917138,-4.862338,-3.874432,-0.761889
-0.9017128,-2.883445,6.382736,-1.280263
-2.09452,-3.055875,5.143806,-1.668419
-6.750235,-2.138594,0.5237383,2.007652
-6.459387,-0.9268782,1.377923,3.116193
-9.150499,-2.46864,-3.358594,1.891534
-6.908062,-3.828296,0.685946,0.8104806
-4.427221,0.2880135,4.076994,2.385887
-4.542327,0.05795552,4.234148,3.711749
-6.147517,-1.324505,1.039924,2.052804
-4.16559,-1.711872,3.96703,-0.2525282
-3.194312,-2.536018,5.040842,-1.070911
-3.135318,-3.685766,3.902657,-1.007249
-1.268648,-2.575739,3.401088,1.657199
-2.448575,-2.766724,3.156836,1.40958
-3.446628,-3.418293,3.092034,0.418
-4.234057,-3.165882,1.927655,1.941642
-3.369433,-3.491198,4.41432,-0.5142149
-4.036549,-3.644716,2.505274,0.64842
-3.668723,-3.8061,1.66423,1.597418
-6.941052,0.1611815,-1.479292,3.975457
-6.537374,-0.128883,1.413164,3.463861
-6.426164,0.3524761,3.230075,4.807651
-3.402205,-1.99,3.24996,0.6790612
-2.08522,-2.571858,3.39399,0.7540873
-7.569849,-1.646376,0.8649717,2.13826
-5.22925,-0.5878063,1.229166,2.118037
-5.583897,-0.02137412,3.559828,1.992357
-6.553021,0.7637576,1.152613,4.534306
