x,y,z,t0
3.716641,-1.477358,6.950883,3.691442
0.09149564,-1.601171,2.657771,4.9264
0.8942967,0.02153931,3.64436,5.23195
1.106377,-1.203044,4.486473,4.970851
3.876357,-3.558215,8.634875,2.050219
2.43706,-1.476871,4.379649,0.8555161
3.887268,-0.9345356,4.650944,2.568393
3.159881,-3.014671,7.221977,3.651424
1.858036,-1.439981,3.972871,2.19131
1.722398,0.490393,0.001290934,4.788231
0.6392021,-0.7268043,5.368721,5.512225
3.781045,-3.52248,5.703626,1.075555
2.313224,0.1617201,0.3437932,2.567507
2.636255,-1.629232,2.44706,1.350144
1.057925,0.6181228,-2.65508,2.427416
3.297866,-0.9984162,2.504015,4.454097
2.149401,-0.5845228,-0.6999275,6.801738
1.188793,-1.183885,2.477236,6.161745
-0.4833193,-1.33429,2.692706,4.916968
4.134137,-3.820236,7.126881,1.354238
3.178863,-1.838411,0.02833924,1.187751
3.265364,-2.405437,0.3402643,2.964783
1.311275,-2.096911,2.320031,0.590065
2.605206,0.3919675,0.5374742,5.668565
4.304667,-1.428031,4.508118,5.615336
1.249905,-1.217806,1.452705,4.804445
-0.2635319,0.1879614,6.361642,5.589071
3.748208,-2.343778,3.361537,2.286512
3.278246,-2.964595,4.658012,1.426143
4.043304,-4.798173,7.836054,2.648326
3.746384,-4.247904,6.645164,2.043964
3.10779,0.9916879,-1.782514,2.645692
2.367257,-1.30162,-1.73279,2.098755
0.810087,1.573785,-0.1905568,1.024549
1.820874,-0.4894705,1.517029,2.974558
2.609728,-0.664741,-2.718474,3.398485
1.763935,0.8267592,-3.1719,3.631622
0.03549569,-0.0937437,-3.691928,2.096738
1.402771,0.3138494,-0.1305108,2.665157
0.3320258,0.3040387,1.871545,4.25783
4.13685,-0.5684692,-4.042319,5.719041
3.075073,-1.050488,-3.663714,5.74762
-1.455711,0.251571,-1.477651,5.236399
0.08552705,-1.142772,1.967009,4.478467
1.156909,0.1072479,1.178524,4.637185
0.07551128,-1.415427,4.025962,3.97406
2.539615,-0.2413499,-3.89458,4.81886
1.013126,0.110958,-3.402559,5.760013
3.892787,-3.927137,6.107075,2.015908
1.581927,-3.616973,5.581922,1.842563
2.456923,-2.042856,7.389217,4.153503
1.232873,-2.041227,5.057171,5.387244
1.166776,-3.087265,5.599432,6.647635
3.361338,-1.094518,-5.918794,4.903557
3.059943,-0.1487322,-3.662397,3.931232
4.742705,-1.582406,-3.754902,5.31425
1.676781,-0.09972045,-3.208513,5.349748
4.471569,-1.521782,-2.27725,5.217292
3.10222,-3.217474,-3.708233,6.113674
2.661363,-2.229412,6.614218,2.899337
4.414864,-4.569674,7.055059,3.821206
2.987658,-0.2244719,-0.04256481,3.319509
2.310987,-1.042502,1.763505,3.217419
3.776561,0.7755901,-4.012338,4.259734
2.776629,-1.093498,2.266503,5.191721
1.78946,-1.785243,5.72403,2.905362
1.681226,-2.738425,8.892773,4.1305
3.133198,-1.1268,1.589975,3.572502
